"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"176","article_0_0_0_0_0_102_1_2_2.xml.state","narrow.t",NA,8046,183778,7712,178590,0,0
"177","article_0_0_0_0_0_102_1_2_2.xml.state","wide.t",NA,57,38805,52,37636,19804,19804
"178","article_0_0_0_0_0_102_1_2_2.xml.state","WilsonBalding.t",NA,72,38274,62,37096,5669,5669
"179","article_0_0_0_0_0_102_1_2_2.xml.state","BirthRateScaler.t",0.340422584633347,10952,27503,10183,27192,0,0
"180","article_0_0_0_0_0_102_1_2_2.xml.state","DeathRateScaler.t",0.156376607479846,11670,26985,10752,26789,5694,5694
"181","article_0_0_0_0_0_102_2_1_1.xml.state","treeScaler.t",0.770035440389916,5160,33240,5098,32137,0,0
"182","article_0_0_0_0_0_102_2_1_1.xml.state","treeRootScaler.t",0.75496626138992,5023,33510,4932,32456,9080,9080
"183","article_0_0_0_0_0_102_2_1_1.xml.state","UniformOperator.t",NA,95447,289762,92663,281442,0,0
"184","article_0_0_0_0_0_102_2_1_1.xml.state","SubtreeSlide.t",0.171817953388157,3458,188640,3433,183111,82163,82163
"185","article_0_0_0_0_0_102_2_1_1.xml.state","narrow.t",NA,4525,187635,4314,182265,0,0
"186","article_0_0_0_0_0_102_2_1_1.xml.state","wide.t",NA,24,38509,22,37292,19807,19807
"187","article_0_0_0_0_0_102_2_1_1.xml.state","WilsonBalding.t",NA,29,38301,23,37158,5718,5718
"188","article_0_0_0_0_0_102_2_1_1.xml.state","BirthRateScaler.t",0.34494203499867,11261,26937,10457,26659,0,0
"189","article_0_0_0_0_0_102_2_1_1.xml.state","DeathRateScaler.t",0.176309021154926,12855,25685,11983,25502,4321,4321
"190","article_0_0_0_0_0_102_2_1_2.xml.state","treeScaler.t",0.77395388202,5162,33102,5111,32082,0,0
"191","article_0_0_0_0_0_102_2_1_2.xml.state","treeRootScaler.t",0.758805396077401,5190,33275,5131,32262,9148,9148
"192","article_0_0_0_0_0_102_2_1_2.xml.state","UniformOperator.t",NA,94704,290343,91948,281935,0,0
"193","article_0_0_0_0_0_102_2_1_2.xml.state","SubtreeSlide.t",0.193482853415228,2967,188984,2938,183342,83681,83681
"194","article_0_0_0_0_0_102_2_1_2.xml.state","narrow.t",NA,4468,187789,4246,182440,0,0
"195","article_0_0_0_0_0_102_2_1_2.xml.state","wide.t",NA,44,38357,35,37241,19486,19486
"196","article_0_0_0_0_0_102_2_1_2.xml.state","WilsonBalding.t",NA,23,38696,17,37643,5813,5813
"197","article_0_0_0_0_0_102_2_1_2.xml.state","BirthRateScaler.t",0.317641276688147,9923,28522,9152,28216,0,0
"198","article_0_0_0_0_0_102_2_1_2.xml.state","DeathRateScaler.t",0.190813962939262,13646,24806,12711,24631,4050,4050
"199","article_0_0_0_0_0_102_2_2_1.xml.state","treeScaler.t",0.80356947572676,6369,31896,6292,30886,0,0
"200","article_0_0_0_0_0_102_2_2_1.xml.state","treeRootScaler.t",0.752905384052879,4414,34125,4361,33068,11412,11412
"201","article_0_0_0_0_0_102_2_2_1.xml.state","UniformOperator.t",NA,100333,284750,97365,276749,0,0
"202","article_0_0_0_0_0_102_2_2_1.xml.state","SubtreeSlide.t",0.135428406675413,4253,188034,4223,182468,78390,78390
"203","article_0_0_0_0_0_102_2_2_1.xml.state","narrow.t",NA,5991,186364,5721,181133,0,0
"204","article_0_0_0_0_0_102_2_2_1.xml.state","wide.t",NA,38,38266,33,37225,19463,19463
"205","article_0_0_0_0_0_102_2_2_1.xml.state","WilsonBalding.t",NA,30,38364,24,37314,5621,5621
"206","article_0_0_0_0_0_102_2_2_1.xml.state","BirthRateScaler.t",0.354284441848386,11501,27014,10730,26698,0,0
"207","article_0_0_0_0_0_102_2_2_1.xml.state","DeathRateScaler.t",0.149356614288262,11162,27097,10218,26921,5701,5701
"208","article_0_0_0_0_0_102_2_2_2.xml.state","treeScaler.t",0.803778093980382,6362,32024,6291,30932,0,0
"209","article_0_0_0_0_0_102_2_2_2.xml.state","treeRootScaler.t",0.759598166266545,4642,34001,4594,32993,11347,11347
"210","article_0_0_0_0_0_102_2_2_2.xml.state","UniformOperator.t",NA,100498,283871,97519,275611,0,0
"211","article_0_0_0_0_0_102_2_2_2.xml.state","SubtreeSlide.t",0.182660899233214,3261,188821,3230,183245,83028,83028
"212","article_0_0_0_0_0_102_2_2_2.xml.state","narrow.t",NA,6112,186308,5843,180778,0,0
"213","article_0_0_0_0_0_102_2_2_2.xml.state","wide.t",NA,39,38407,34,37268,19529,19529
"214","article_0_0_0_0_0_102_2_2_2.xml.state","WilsonBalding.t",NA,39,38247,29,37150,5659,5659
"215","article_0_0_0_0_0_102_2_2_2.xml.state","BirthRateScaler.t",0.366846372441402,12270,26440,11470,26163,0,0
"216","article_0_0_0_0_0_102_2_2_2.xml.state","DeathRateScaler.t",0.167990422670475,12314,26345,11358,26203,5258,5258
"217","article_0_0_0_0_0_103_1_1_1.xml.state","treeScaler.t",0.787468459459507,4894,33399,4848,32319,0,0
"218","article_0_0_0_0_0_103_1_1_1.xml.state","treeRootScaler.t",0.730446608027323,5915,32458,5829,31445,6112,6112
"219","article_0_0_0_0_0_103_1_1_1.xml.state","UniformOperator.t",NA,93232,292198,90426,283942,0,0
"220","article_0_0_0_0_0_103_1_1_1.xml.state","SubtreeSlide.t",0.196274421754542,2934,189465,2905,183925,86129,86129
"221","article_0_0_0_0_0_103_1_1_1.xml.state","narrow.t",NA,8915,182710,8532,177583,0,0
"222","article_0_0_0_0_0_103_1_1_1.xml.state","wide.t",NA,51,38250,43,37136,19387,19387
"223","article_0_0_0_0_0_103_1_1_1.xml.state","WilsonBalding.t",NA,26,38687,17,37503,4204,4204
"224","article_0_0_0_0_0_103_1_1_1.xml.state","BirthRateScaler.t",0.395184956039813,10682,27955,9903,27600,0,0
"225","article_0_0_0_0_0_103_1_1_1.xml.state","DeathRateScaler.t",0.172887091138425,12604,25626,11730,25426,3162,3162
"226","article_0_0_0_0_0_103_1_1_2.xml.state","treeScaler.t",0.794117497596786,5249,33332,5200,32305,0,0
"227","article_0_0_0_0_0_103_1_1_2.xml.state","treeRootScaler.t",0.735575417250876,6010,32239,5927,31185,5949,5949
"228","article_0_0_0_0_0_103_1_1_2.xml.state","UniformOperator.t",NA,92991,292277,90127,283903,0,0
"229","article_0_0_0_0_0_103_1_1_2.xml.state","SubtreeSlide.t",0.18014657226629,3115,189033,3090,183501,85197,85197
